RecID,IdTruth
A103552,19355
A106429,19355
A100302,19356
A104866,19356
A100470,19356
A104714,19356
A103538,19356
A104348,19356
A100815,19357
A103589,19357
A102777,19357
A102004,19357
A106914,19357
A105140,19358
A100070,19358
A101366,19358
A106279,19358
A106734,19358
A102639,19358
A105334,75609
A100493,75609
A106442,75609
A107146,75609
A106067,75609
A103995,75610
A104403,75610
A104227,75610
A103021,75610
A104401,75611
A104756,75611
A103078,75611
A101427,75611
A104983,75611
A107081,75612
A103729,75612
A102316,75612
A100486,75612
A105896,75612
A102075,75613
A102813,75613
A102489,75613
A102210,75613
A104443,75614
A102561,75614
A100440,75614
A101653,75614
A103436,75614
A100015,75615
A105535,75615
A103882,75615
A106989,75616
A104911,75616
A102025,75616
A101673,75616
A100816,1
A106660,1
A100564,1
A101935,1
A100798,2
A102702,2
A104011,2
A102026,2
A105582,3
A103024,3
A105735,3
A104860,3
A102610,3
A105739,3
A104050,4
A103893,4
A101277,4
A104889,4
A102597,4
A103667,4
A101034,5
A102409,5
A103642,5
A106065,5
A101722,5
A100765,6
A102580,6
A103723,6
A103362,6
A106174,7
A101633,7
A102764,7
A105476,7
A106495,7
A102878,8
A103193,8
A104701,8
A100911,9
A100456,9
A106932,9
A101042,9
A103455,10
A102899,10
A100910,10
A100716,8555
A101998,8555
A105980,8555
A106965,8555
A104145,8555
A101176,8556
A102499,8556
A106902,8556
A105671,8556
A101120,8556
A102220,8556
A106630,8557
A103909,8557
A100925,8557
A100881,8557
A100811,8557
A105050,8558
A103894,8558
A107012,8558
A100075,8559
A103129,8559
A106333,8559
A106265,8559
A100230,8560
A102643,8560
A105330,8560
A103338,8560
A104362,8560
A101729,8561
A100619,8561
A106271,8561
A100110,8561
A104585,8562
A100242,8562
A107188,8562
A106059,8562
A102491,8562
A105624,8562
A100169,8563
A101856,8563
A105484,8563
A102455,8563
A105232,8563
A100241,8563
A104106,8564
A102265,8564
A102848,8564
A100291,8564
A104914,8564
A104289,8564
A101426,8565
A102604,8565
A102670,8565
A102296,8565
A103439,33304
A104574,33304
A100876,33304
A102665,33304
A105657,33304
A105086,33305
A103187,33305
A107234,33305
A100582,33305
A105153,33306
A102054,33306
A104417,33306
A107028,33306
A105366,33307
A103684,33307
A106751,33307
A105368,33307
A102213,33307
A103457,33308
A104645,33308
A103429,33308
A103220,33308
A103048,33308
A105474,33308
A102883,33309
A101848,33309
A104842,33309
A107104,33309
A105918,33309
A100970,33309
A104051,33310
A104175,33310
A103474,33310
A103803,33310
A103805,33310
A105033,51138
A103025,51138
A105755,51138
A104918,51138
A102653,51139
A106047,51139
A106652,51139
A106151,51139
A105039,51140
A103371,51140
A104516,51140
A103829,51140
A100322,51140
A103401,51140
A106303,51141
A104956,51141
A102080,51141
A103470,51142
A106466,51142
A105687,51142
A106781,52467
A106039,52467
A100672,52467
A101170,52468
A101020,52468
A105715,52468
A100545,52468
A100581,52469
A102722,52469
A105051,52469
A103361,52469
A103189,52470
A101929,52470
A103987,52470
A104573,52470
A106816,52470
A103375,52470
A101395,52471
A103022,52471
A100071,52471
A100012,52472
A107052,52472
A103713,52472
A103063,52472
A102690,52472
A105417,52472
A102635,52473
A101268,52473
A105742,52473
A101477,52473
A104854,52473
A105615,52473
A103791,52474
A104736,52474
A103384,52474
A102730,52474
A106762,52474
A106638,52474
A105015,52475
A100188,52475
A103086,52475
A103931,52475
A100864,52475
A102215,52476
A100385,52476
A106585,52476
A103034,52477
A101249,52477
A101129,52477
A101108,52478
A102685,52478
A101205,52478
A100826,52478
A100982,52478
A105551,70859
A106780,70859
A105284,70859
A103750,70859
A103332,70859
A100659,70860
A100387,70860
A100304,70860
A103207,70861
A105186,70861
A100160,70861
A100704,70861
A101626,70861
A106892,70862
A105085,70862
A100734,70862
A103533,70862
A100046,70862
A100897,70862
A105237,70863
A101512,70863
A101511,70863
A105745,70863
A106257,70864
A107102,70864
A106023,70864
A101106,70864
A104685,70864
A102023,70864
A101956,70865
A101200,70865
A101445,70865
A105450,70866
A106597,70866
A101530,70866
A105170,70866
A103927,70866
A107199,70867
A103793,70867
A101433,70867
A104304,70867
A100857,70868
A105548,70868
A105921,70868
A105856,2443
A107046,2443
A101032,2443
A102408,2443
A101408,2443
A101570,2444
A101171,2444
A103435,2444
A101650,2444
A105886,2445
A107029,2445
A104032,2445
A104441,2445
A106042,2446
A106056,2446
A105581,2446
A106769,2446
A106289,2446
A104305,2447
A107060,2447
A102184,2447
A103426,2447
A105244,2448
A103394,2448
A100680,2448
A106237,2449
A105952,2449
A102427,2449
A105310,2449
A106589,2449
A104068,2450
A103216,2450
A101298,2450
A104131,2450
A100119,2450
A101141,2450
A102800,2451
A101128,2451
A100140,2451
A106396,3093
A106691,3093
A103452,3093
A102814,3094
A106868,3094
A100431,3094
A105397,3094
A105178,3094
A106818,3095
A105684,3095
A100132,3095
A105426,3095
A101290,3095
A102263,3096
A105409,3096
A106552,3096
A107105,3096
A105146,3097
A105935,3097
A103634,3097
A101244,3098
A104374,3098
A101356,3098
A103476,3098
A103610,3099
A105235,3099
A104129,3099
A101737,3100
A103088,3100
A102539,3100
A107120,10962
A103856,10962
A100336,10962
A107121,10962
A104482,10962
A100467,10962
A104506,10963
A102988,10963
A100999,10963
A102985,10964
A103354,10964
A105760,10964
A104049,10964
A103342,10965
A104434,10965
A102390,10965
A107182,10965
A104182,10966
A101797,10966
A100421,10966
A100197,10966
A104399,10966
A106755,10966
A103094,10967
A104097,10967
A102143,10967
A102310,10967
A105504,10968
A102282,10968
A105685,10968
A103930,10968
A101793,10968
A104673,10969
A106030,10969
A102729,10969
A104229,10969
A102711,10969
A100544,10969
A107204,10970
A105677,10970
A106870,10970
A105771,10970
A100021,10971
A102928,10971
A103146,10971
A102735,10971
A102018,10972
A104627,10972
A101178,10972
A102538,10972
A100832,10972
A103478,66277
A101718,66277
A103832,66277
A105606,66277
A101875,66277
A106610,66277
A106434,66278
A103697,66278
A105457,66278
A102919,66278
A106626,66278
A105839,66279
A106087,66279
A106299,66279
A106570,66279
A102093,66279
A100926,66279
A101168,66280
A100490,66280
A104907,66280
A101303,66280
A100035,66280
A104572,66280
A101255,66281
A103902,66281
A102129,66281
A100478,8446
A102257,8446
A101791,8446
A104658,8446
A101092,8447
A100424,8447
A103670,8447
A102854,8447
A104955,8448
A105783,8448
A104925,8448
A105132,8449
A104686,8449
A103815,8449
A104754,8449
A100306,8449
A107024,8450
A100479,8450
A106019,8450
A105751,8451
A100814,8451
A102393,8451
A106819,8451
A102544,8452
A103628,8452
A106189,8452
A100531,8452
A104718,44384
A101861,44384
A106997,44384
A105882,44385
A106849,44385
A105859,44385
A100909,44386
A100744,44386
A101597,44386
A104463,44387
A106256,44387
A107108,44387
A100446,44387
A102951,44388
A100143,44388
A100656,44388
A105572,44389
A100687,44389
A100787,44389
A105136,44390
A102170,44390
A101537,44390
A106018,44390
A106350,44390
A104170,20069
A105968,20069
A104246,20069
A101270,20070
A105646,20070
A104965,20070
A105042,20070
A100381,20071
A104607,20071
A107237,20071
A101980,20071
A105392,20071
A100410,20072
A104666,20072
A100996,20072
A104734,20072
A101566,20072
A106926,20072
A104595,20073
A106103,20073
A106805,20073
A102959,20073
A100236,20074
A104341,20074
A106628,20074
A104881,20074
A102201,20075
A106081,20075
A106824,20075
A105016,20075
A107246,20075
A105203,20075
A100665,20076
A101964,20076
A105787,20076
A103592,20076
A103075,20077
A100953,20077
A106825,20077
A101911,20077
A106614,20077
A104196,20077
A105873,20078
A102732,20078
A102642,20078
A100279,20078
A102230,20078
A105560,20078
A106661,20079
A104216,20079
A103116,20079
A105414,20079
A101728,20080
A102555,20080
A102666,20080
A101680,68513
A104189,68513
A102573,68513
A104236,68514
A102153,68514
A102354,68514
A103138,68514
A102175,68514
A100599,68514
A102660,68515
A100224,68515
A101422,68515
A105826,68515
A103008,68515
A103150,68516
A106194,68516
A104264,68516
A103512,68516
A100585,68516
A100702,68516
A104661,68517
A106405,68517
A102250,68517
A100428,68517
A103112,68517
A102832,68517
A104852,68518
A102977,68518
A104904,68518
A105199,68518
A100743,68518
A104825,68518
A105411,68519
A100065,68519
A103916,68519
A105120,68520
A103574,68520
A105974,68520
A105107,68521
A101149,68521
A103584,68521
A101049,31048
A103148,31048
A100511,31048
A103036,31048
A105055,31048
A104806,31048
A104153,31049
A104682,31049
A100536,31049
A102125,31049
A102754,31049
A107048,31050
A102168,31050
A104408,31050
A101979,31051
A104953,31051
A103895,31051
A101117,31051
A106250,31052
A102694,31052
A105854,31052
A100724,31052
A104496,31053
A100366,31053
A105959,31053
A101615,31053
A100447,31054
A102351,31054
A105307,31054
A105452,31054
A104973,31054
A100390,31054
A104816,31055
A101400,31055
A107036,31055
A103991,31055
A104633,31056
A102100,31056
A101058,31056
A100201,31056
A105875,31056
A101331,31056
A102631,47162
A107015,47162
A106812,47162
A107214,47162
A101772,47163
A103438,47163
A101919,47163
A103410,47163
A104584,47163
A102135,47164
A101365,47164
A106011,47164
A103493,47164
A102614,47164
A104967,47164
A107262,47165
A100101,47165
A102914,47165
A104517,47165
A101519,47166
A102179,47166
A103519,47166
A102204,47167
A105287,47167
A100820,47167
A106280,47167
A100754,47167
A101122,47167
A106663,47168
A102373,47168
A103662,47168
A104540,47169
A104141,47169
A106385,47169
A100695,47170
A105208,47170
A106803,47170
A100548,59720
A102299,59720
A101237,59720
A104089,59721
A103516,59721
A102211,59721
A102259,59721
A100193,59722
A101048,59722
A103444,59722
A106488,59722
A100652,59723
A104694,59723
A105081,59723
A104900,59723
A107211,59723
A103536,59723
A101946,59724
A101720,59724
A102445,59724
A104197,59724
A104471,59724
A106943,59724
A106617,59725
A106474,59725
A105253,59725
A106142,59725
A105112,59725
A107047,59725
A102465,59726
A104785,59726
A104147,59726
A103982,59726
A102679,33468
A105299,33468
A102151,33468
A105841,33468
A106353,33468
A105460,33468
A104072,33469
A102314,33469
A106363,33469
A100957,33470
A104990,33470
A101323,33470
A107050,33470
A100722,33471
A100145,33471
A102239,33471
A103672,33471
A104912,33471
A106544,33471
A106424,39377
A104951,39377
A102725,39377
A105765,39378
A105058,39378
A107260,39378
A105110,39378
A102434,39378
A106921,39378
A105483,39379
A102863,39379
A100004,39379
A101074,39379
A100873,39379
A100158,39380
A100074,39380
A105175,39380
A103400,39380
A105666,39380
A101429,39380
A100372,39381
A100144,39381
A105141,39381
A103733,39381
A100794,39381
A102383,39382
A106844,39382
A102856,39382
A107217,39382
A105536,39382
A106501,39382
A104640,39383
A102040,39383
A105320,39383
A104660,39383
A106243,39383
A106960,39383
A105352,39384
A100142,39384
A105082,39384
A100924,39384
A104878,39385
A105445,39385
A106288,39385
A102060,39385
A101267,39386
A104872,39386
A104618,39386
A106788,39386
A101874,39386
A100858,42485
A100521,42485
A105894,42485
A103996,42485
A100352,42486
A105537,42486
A102575,42486
A104727,42487
A105357,42487
A104185,42487
A104637,42488
A102770,42488
A107261,42488
A100450,42488
A104732,42488
A102820,42489
A102978,42489
A103058,42489
A106928,42490
A101564,42490
A106180,42490
A100915,42491
A105996,42491
A103349,42491
A103866,42491
A102763,42491
A103306,42491
A103665,44760
A102958,44760
A102593,44760
A101469,44760
A106839,44761
A101792,44761
A102675,44761
A104615,44762
A107018,44762
A100588,44762
A100285,44763
A105929,44763
A106674,44763
A100148,44763
A106561,44764
A106945,44764
A103020,44764
A104794,44765
A103602,44765
A101774,44765
A100483,45262
A104884,45262
A103056,45262
A100593,45262
A100878,45263
A100309,45263
A100937,45263
A102793,45263
A106962,45263
A106852,45263
A105800,45264
A106556,45264
A101281,45264
A100914,45265
A101497,45265
A105570,45265
A102258,45265
A100859,45266
A103151,45266
A106468,45266
A103414,45267
A106002,45267
A101845,45267
A106735,45268
A103393,45268
A100586,45268
A101660,45268
A103018,45268
A101213,45268
A101629,50622
A102529,50622
A104318,50622
A103513,50622
A103813,50622
A103986,50623
A107025,50623
A104971,50623
A104158,50623
A103611,50623
A106497,50624
A100631,50624
A100080,50624
A104350,50624
A101903,50625
A101950,50625
A102583,50625
A102472,50625
A107156,50625
A105958,50626
A105465,50626
A104015,50626
A105515,50626
A100805,50627
A104345,50627
A105868,50627
A100800,50627
A102701,50627
A105488,50628
A106321,50628
A103714,50628
A102002,50628
A100686,50628
A103312,50628
A104924,50629
A101480,50629
A104259,50629
A106016,50629
A105295,50630
A103870,50630
A101850,50630
A103370,50630
A102794,50630
A101010,50631
A107185,50631
A106595,50631
A101726,50631
A106241,50631
A101819,50631
A103037,50632
A107031,50632
A105172,50632
A104144,50632
A102181,50632
A101275,53188
A103494,53188
A105716,53188
A100579,53189
A104795,53189
A103769,53189
A101347,53190
A103092,53190
A103852,53190
A101681,53190
A102313,53190
A106882,53190
A100404,53191
A100060,53191
A102038,53191
A105264,53192
A104395,53192
A106783,53192
A104272,53193
A106619,53193
A101056,53193
A105303,53193
A105071,53194
A105903,53194
A101983,53194
A101478,53194
A104334,53194
A101503,53195
A103553,53195
A105238,53195
A106433,53195
A103761,53196
A102626,53196
A105439,53196
A105451,53196
A103561,53196
A101501,53197
A102673,53197
A101148,53197
A101552,53198
A100353,53198
A100308,53198
A100966,53198
A106659,53199
A100000,53199
A105139,53199
A105647,53199
A104995,53199
A102324,53200
A101763,53200
A104823,53200
A103739,53200
A105748,53200
A100327,56299
A101183,56299
A106066,56299
A104760,56299
A101507,56300
A102350,56300
A101499,56300
A103205,56300
A101182,56300
A107043,56300
A105358,56301
A101967,56301
A100920,56301
A106161,56301
A104746,56301
A101496,56302
A105180,56302
A104003,56302
A106901,56303
A106377,56303
A104428,56303
A100454,56303
A100928,56303
A106412,56304
A107070,56304
A100398,56304
A103453,56305
A102482,56305
A103798,56305
A103311,56305
A100371,56306
A105007,56306
A100053,56306
A103668,56306
A103965,56306
A106239,56307
A107176,56307
A105499,56307
A103002,56308
A106160,56308
A103823,56308
A103891,56309
A102267,56309
A105938,56309
A100789,56309
A105443,56310
A105734,56310
A105031,56310
A106938,56310
A106745,56310
A106639,78315
A100903,78315
A104024,78315
A105177,78315
A106857,78315
A103446,78316
A101989,78316
A100084,78316
A103923,78316
A100705,78317
A100163,78317
A100383,78317
A101184,78317
A105066,78317
A102353,78318
A107096,78318
A104929,78318
A102973,78318
A106355,78319
A100935,78319
A104321,78319
A102923,78319
A101533,78319
A106107,78320
A101573,78320
A101462,78320
A100373,78320
A104038,78320
A102076,78320
A107263,78321
A105994,78321
A104752,78321
A102537,78321
A103234,78321
A105197,78322
A102385,78322
A106367,78322
A105995,80852
A102534,80852
A103417,80852
A103325,80853
A102193,80853
A101373,80853
A101575,80853
A105069,80853
A105376,80853
A102183,80854
A100717,80854
A102490,80854
A102945,80854
A102398,80854
A101033,80855
A103203,80855
A105101,80855
A106444,80856
A103469,80856
A102137,80856
A107127,80857
A106051,80857
A102359,80857
A100797,80857
A102096,80857
A103055,80858
A104664,80858
A106447,80858
A101585,80858
A105250,80859
A106752,80859
A101776,80859
A105559,80859
A100974,80859
A100264,81995
A104601,81995
A105092,81995
A101944,81995
A102966,81996
A102196,81996
A105001,81996
A102016,81996
A100297,81996
A106428,81996
A104388,81997
A107153,81997
A106305,81997
A102334,81997
A107016,81997
A104504,81997
A101009,81998
A105901,81998
A106767,81998
A102979,81999
A103627,81999
A104179,81999
A102641,82000
A102444,82000
A102733,82000
A101276,82001
A101968,82001
A105221,82001
A104373,82001
A102875,82002
A100537,82002
A101692,82002
A103551,82003
A104539,82003
A101211,82003
A103260,82003
A106888,82003
A104361,12821
A105775,12821
A103801,12821
A100732,12821
A101173,12822
A102527,12822
A104209,12822
A107118,12822
A105999,12822
A106172,12822
A107163,12823
A105326,12823
A104828,12823
A102042,12823
A104846,12824
A105955,12824
A101197,12824
A104111,12825
A103877,12825
A107082,12825
A101732,12825
A103719,12825
A106393,12826
A101592,12826
A105164,12826
A102780,12826
A107074,12826
A104588,12827
A105878,12827
A102003,12827
A103730,12828
A104181,12828
A104255,12828
A106173,12828
A101818,12828
A100901,12829
A102098,12829
A100959,12829
A101890,12829
A102990,12830
A104819,12830
A102944,12830
A105422,12830
A101951,12831
A100123,12831
A102751,12831
A103590,30042
A100089,30042
A102307,30042
A104317,30042
A105812,30042
A105171,30043
A104466,30043
A105403,30043
A105395,30043
A104166,30043
A100049,30043
A105243,30044
A102036,30044
A102493,30044
A102195,30044
A104649,30045
A101193,30045
A101995,30045
A103817,30045
A105008,30046
A100594,30046
A103097,30046
A100720,30046
A101151,30047
A101641,30047
A102234,30047
A105342,30047
A103030,30048
A100425,30048
A100747,30048
A103381,30048
A106260,30048
A105533,30048
A106409,22984
A107103,22984
A102322,22984
A106891,22985
A103997,22985
A105282,22985
A101960,22985
A107026,22986
A106758,22986
A104798,22986
A103802,22986
A102724,22986
A100099,22987
A101541,22987
A101622,22987
A100874,22987
A105544,22987
A106863,22987
A100502,22988
A102801,22988
A101606,22988
A100799,22988
A103666,22989
A106171,22989
A106116,22989
A100518,22989
A105927,22989
A106586,22990
A106809,22990
A106105,22990
A102024,22990
A100370,22991
A104414,22991
A100269,22991
A100603,22992
A102788,22992
A102889,22992
A104324,22992
A106178,22992
A103616,22992
A101405,22993
A105406,22993
A106587,22993
A104119,22994
A103884,22994
A101018,22994
A105145,22994
A106519,22994
A104387,22994
A100057,22995
A103158,22995
A103851,22995
A104909,22995
A104564,22996
A105254,22996
A101320,22996
A100682,22996
A101287,22997
A105421,22997
A105950,22997
A104389,22997
A106811,22997
A106940,22997
A106386,22998
A104380,22998
A101214,22998
A105758,22998
A102795,22998
A100711,28347
A100399,28347
A105377,28347
A104776,28347
A104808,28347
A105386,28348
A104267,28348
A102656,28348
A104599,28348
A102778,28349
A107113,28349
A105539,28349
A104579,28349
A104829,28350
A104650,28350
A105023,28350
A105528,28351
A101474,28351
A106789,28351
A103819,28351
A103613,28352
A103562,28352
A101096,28352
A100648,28352
A100898,28352
A105193,28352
A100644,28353
A100674,28353
A105586,28353
A101093,28353
A104313,28353
A106509,39074
A104759,39074
A102520,39074
A102278,39074
A104198,39074
A102013,39075
A101251,39075
A101757,39075
A102601,39076
A101272,39076
A106694,39076
A107170,39076
A106953,39076
A107181,39077
A105694,39077
A103799,39077
A104138,39077
A102043,39077
A103557,39078
A101668,39078
A103422,39078
A104054,39078
A101147,39078
A100409,39078
A103518,48174
A103184,48174
A102326,48174
A105246,48174
A100868,48174
A102830,48175
A103033,48175
A100542,48175
A100633,48176
A105331,48176
A104053,48176
A103433,48177
A104096,48177
A103051,48177
A103767,48177
A102831,48177
A100417,48178
A101194,48178
A102500,48178
A103135,48178
A105064,48179
A105730,48179
A100209,48179
A101953,48179
A102357,48179
A101603,48180
A105077,48180
A106364,48180
A104386,48181
A100055,48181
A105204,48181
A102327,48182
A103569,48182
A101304,48182
A106128,48182
A102504,48182
A105255,48182
A103288,48183
A102311,48183
A105233,48183
A105555,48183
A106117,48183
A102548,48184
A104186,48184
A102634,48184
A106472,48184
A100778,48184
A102081,40039
A102430,40039
A101410,40039
A104936,40039
A100606,40039
A100960,40039
A101398,40040
A104689,40040
A106560,40040
A106208,40041
A101492,40041
A105844,40041
A100554,40041
A102101,40041
A101773,40041
A104614,40042
A100555,40042
A103649,40042
A104342,40042
A103141,40043
A104917,40043
A105020,40043
A102448,40043
A100752,40043
A105803,40044
A103060,40044
A106285,40044
A105971,40045
A103550,40045
A103231,40045
A102365,40045
A106593,40045
A103157,40045
A106959,48275
A100171,48275
A106815,48275
A105308,48276
A100501,48276
A105943,48276
A101800,48276
A100872,48277
A105587,48277
A105561,48277
A102753,48277
A105309,48277
A106420,48278
A100215,48278
A100248,48278
A101080,48278
A103459,48278
A104410,48278
A104745,48279
A106722,48279
A103587,48279
A104840,48280
A103675,48280
A105801,48280
A106847,48280
A106668,48280
A102462,30846
A104315,30846
A101750,30846
A102993,30846
A104221,30846
A104309,30847
A101957,30847
A102645,30847
A105313,30848
A106513,30848
A101634,30848
A100534,30848
A100116,30848
A101588,30849
A102399,30849
A102532,30849
A104180,30849
A104359,30849
A103104,30850
A101827,30850
A100525,30850
A106944,30850
A100988,30850
A104079,30850
A106426,30851
A106410,30851
A101582,30851
A103301,30851
A105118,30851
A106391,30852
A103578,30852
A102147,30852
A106078,30852
A107054,30852
A104117,30852
A101545,69127
A103605,69127
A103350,69127
A102469,69127
A103333,69127
A103003,69128
A102174,69128
A101973,69128
A106954,69128
A103115,69129
A105360,69129
A103985,69129
A106486,69129
A100472,69130
A104238,69130
A105858,69130
A106512,69130
A103595,69130
A101028,69130
A105218,69131
A103496,69131
A102078,69131
A105468,69131
A103825,69131
A102069,69131
A103212,69132
A102207,69132
A101152,69132
A100529,69132
A101424,69133
A102271,69133
A104406,69133
A105441,69133
A103424,69133
A101987,69134
A104676,69134
A102368,69134
A102894,69134
A102436,69134
A105073,69134
A100526,69135
A100856,69135
A102116,69135
A100167,11775
A102279,11775
A103211,11775
A100875,11775
A101130,11775
A100636,11776
A103951,11776
A105442,11776
A100194,11776
A107161,11776
A103145,11777
A102209,11777
A101100,11777
A104150,11777
A103576,11778
A100751,11778
A106187,11778
A101409,11778
A104419,11778
A101863,11778
A103366,11779
A105288,11779
A102440,11779
A105167,11779
A106234,11779
A106053,11780
A102329,11780
A107077,11780
A105361,11780
A106058,11780
A102940,11780
A103147,11781
A107212,11781
A100018,11781
A107069,11781
A101965,11781
A104352,11781
A101596,11782
A103687,11782
A101895,11782
A101516,11782
A104642,11782
A105945,11782
A105911,11783
A102176,11783
A102058,11783
A106313,11783
A101465,11784
A103344,11784
A100337,11784
A103614,11784
A102757,11784
A101101,11784
A101076,11785
A106903,11785
A101430,11785
A101803,11785
A102543,57483
A105036,57483
A102922,57483
A103026,57484
A102761,57484
A101812,57484
A101554,57484
A104523,57484
A104148,57485
A101739,57485
A107125,57485
A100578,57485
A104156,57485
A107101,57486
A101379,57486
A105156,57486
A106400,57487
A102558,57487
A106496,57487
A102291,57487
A101328,57488
A101397,57488
A103118,57488
A106014,57488
A103896,57488
A106458,57489
A103450,57489
A103131,57489
A101917,57489
A102807,57490
A102130,57490
A102989,57490
A102387,57490
A103430,57491
A100152,57491
A101300,57491
A102836,57491
A105750,57492
A106346,57492
A103970,57492
A106068,57493
A101877,57493
A105579,57493
A101735,57494
A107252,57494
A106924,57494
A107229,57494
A100840,83823
A105125,83823
A104875,83823
A103647,83823
A102961,83823
A106006,83823
A105382,83824
A103217,83824
A103057,83824
A106522,83825
A100482,83825
A105773,83825
A107078,83825
A104845,83825
A105610,83825
A103117,83826
A102284,83826
A100740,83826
A102547,83826
A105764,83826
A101475,83826
A100801,83827
A104107,83827
A100488,83827
A102480,83827
A102191,83828
A104320,83828
A105157,83828
A105363,83828
A105236,83828
A103777,83828
A101269,83829
A105060,83829
A102616,83829
A101889,83829
A105158,83829
A100992,83829
A105631,83830
A104901,83830
A106535,83830
A104989,83830
A101297,83830
A107177,83830
A102638,83831
A105686,83831
A101387,83831
A106484,83831
A100638,83832
A105102,83832
A105733,83832
A102512,83832
A107033,15338
A102190,15338
A100062,15338
A101404,15339
A106886,15339
A101137,15339
A101102,15340
A100232,15340
A105200,15340
A106842,15340
A105933,15340
A103292,15340
A101905,15341
A102264,15341
A102628,15341
A101321,15341
A105669,15342
A106823,15342
A106021,15342
A106831,15342
A104155,15343
A106343,15343
A102510,15343
A104813,15343
A100653,15343
A105019,15343
A101202,15344
A104526,15344
A102000,15344
A102238,15345
A100079,15345
A100460,15345
A106230,15345
A105637,15346
A106384,15346
A103706,15346
A100329,77393
A101638,77393
A102771,77393
A101317,77393
A100934,77393
A104461,77393
A100457,77394
A102582,77394
A105079,77394
A100172,77394
A101099,77395
A104232,77395
A105802,77395
A101617,77395
A105202,77395
A107051,77395
A104587,77396
A102205,77396
A104483,77396
A103267,77396
A103142,77396
A100130,77397
A106306,77397
A105987,77397
A105620,77397
A104042,77397
A103679,77397
A103867,40104
A102592,40104
A102511,40104
A106060,40104
A106352,40104
A102741,40104
A106955,40105
A105286,40105
A105261,40105
A105853,40105
A101135,40105
A104019,40105
A102931,40106
A105632,40106
A104695,40106
A101825,40106
A106404,40107
A102865,40107
A105661,40107
A101070,40107
A101455,40107
A103754,40107
A107111,40108
A103686,40108
A105160,40108
A103337,40108
A106717,40108
A105767,40108
A100267,40109
A102855,40109
A106124,40109
A104699,40109
A106168,40109
A100866,40110
A103071,40110
A101222,40110
A103497,40110
A101390,40111
A106357,40111
A106388,40111
A101402,40111
A104542,40111
A103250,40112
A105913,40112
A106728,40112
A100096,40112
A100272,40112
A100621,40112
A101169,40113
A106545,40113
A101526,40113
A106548,40113
A100683,41574
A104524,41574
A102904,41574
A107193,41574
A100249,41574
A103264,41575
A100226,41575
A105089,41575
A102309,41575
A100024,41575
A102991,41575
A100003,41576
A100809,41576
A104407,41576
A102852,41577
A102017,41577
A101648,41577
A106923,41577
A105509,41577
A106063,41578
A106322,41578
A100842,41578
A105135,41578
