RefID, ClusterID
A923913, A911153
A923936, A918780
A923941, A923941
A923977, A911548
A924058, A910769
A924083, A908732
A924171, A924171
A924215, A909666
A924227, A911262
A924231, A924231
A924243, A924243
A924278, A924278
A924279, A924279
A924282, A922175
A924283, A909989
A924289, A919343
A924291, A924291
A924329, A907771
A924374, A915732
A924376, A917573
A924385, A919447
A924429, A924429
A924515, A906900
A924518, A924518
A924644, A924644
A924699, A924699
A924726, A924726
A924730, A910960
A924822, A910195
A924835, A912507
A924844, A908835
A924894, A924894
A924983, A909242
A925014, A925014
A925037, A925037
A925125, A914104
A925152, A917033
A925218, A920094
A925247, A923894
A925258, A925258
A925292, A918873
A925346, A925346
A925353, A909989
A925360, A907336
A925383, A908835
A925429, A912159
A925454, A925454
A925488, A925488
A925503, A905748
A925524, A925524
A925533, A925533
A925575, A911548
A925576, A925576
A925611, A908670
A925627, A911006
A925651, A925651
A925664, A925664
A925681, A916775
A925689, A925689
A925708, A925708
A925752, A925752
A925775, A925775
A925789, A922388
A925808, A908334
A925907, A925907
A925911, A915742
A925914, A912741
A925986, A925986
A926003, A926003
A926016, A926016
A926082, A926082
A926120, A921566
A926181, A926181
A926220, A926220
A926241, A920496
A926266, A914585
A926308, A926308
A926355, A926355
A926365, A926365
A926384, A906194
A926438, A926438
A926444, A910126
A926481, A926481
A926502, A907671
A926624, A910561
A926651, A926651
A926750, A926750
A926791, A926791
A926793, A916775
A926823, A926823
A926913, A909994
A926962, A924429
A927028, A908266
A927050, A923076
A927081, A912796
A927094, A913604
A927105, A919680
A927130, A913604
A927155, A912953
A927156, A927156
A927186, A927186
A927191, A924278
A927252, A927252
A927282, A922442
A927295, A927295
A927337, A913178
A927339, A923732
A927360, A911202
A927415, A913637
A927430, A905577
A927452, A922314
A927520, A925524
A927521, A927521
A927525, A913342
A927544, A905488
A927545, A927545
A927616, A927616
A927634, A927634
A927649, A927649
A927684, A915157
A927708, A915428
A927773, A927773
A927774, A916466
A927785, A927785
A927866, A927866
A927873, A920536
A927884, A927884
A927896, A906900
A927926, A927926
A927962, A927962
A927980, A927980
A927981, A908642
A928018, A928018
A928065, A928065
A928147, A910769
A928236, A920211
A928237, A928237
A928282, A912741
A928287, A912796
A928298, A928298
A928313, A928313
A928319, A909466
A928345, A914909
A928351, A928351
A928545, A928545
A928554, A928313
A928569, A908180
A928610, A908642
A928618, A908231
A928654, A928654
A928673, A928673
A928731, A928731
A928760, A905796
A928770, A924518
A928821, A928821
A928824, A910769
A928836, A928836
A928849, A924231
A928854, A908180
A928896, A922314
A928912, A928912
A928942, A928942
A928973, A928973
A929052, A923076
A929055, A908642
A929121, A929121
A929150, A915586
A929250, A920525
A929265, A920536
A929267, A929267
A929301, A929301
A929352, A929352
A929361, A929361
A929362, A918633
A929401, A920536
A929431, A929431
A929449, A929449
A929471, A906194
A929481, A920447
A929523, A922383
A929543, A929543
A929566, A912159
A929623, A929623
A929630, A929630
A929650, A910716
A929751, A929751
A929771, A929771
A929797, A929797
A929882, A926791
A929934, A915340
A929952, A929952
A929966, A916545
A929982, A911037
A930003, A930003
A930024, A930024
A930039, A910195
A930080, A919447
A930141, A917293
A930172, A904739
A930198, A905562
A930228, A920190
A930256, A930256
A930266, A930266
A930272, A930272
A930273, A914246
A930293, A930293
A930332, A911973
A930333, A930333
A930339, A906194
A930348, A904758
A930387, A918618
A930529, A920190
A930536, A910008
A930572, A930572
A930639, A904913
A930672, A930672
A930695, A911006
A930790, A911817
A930829, A930829
A930840, A930840
A930856, A905577
A930907, A927773
A930917, A915742
A931022, A931022
A931085, A920536
A931137, A931137
A931209, A931209
A931242, A931242
A931248, A931248
A931268, A904735
A931270, A912159
A931276, A931276
A931312, A909471
A931407, A931407
A931408, A907296
A931567, A931567
A931590, A923673
A931599, A931599
A931622, A905951
A931696, A916775
A931728, A915341
A931754, A908334
A931780, A907771
A931912, A931912
A931916, A931916
A931925, A930272
A931934, A931934
A931940, A905817
A931944, A931944
A932002, A932002
A932148, A921338
A932249, A916063
A932268, A932268
A932292, A917609
A932322, A932322
A932413, A921017
A932421, A932421
A932556, A914739
A932567, A932567
A932587, A922841
A932715, A932715
A932778, A932778
A932789, A932789
A932802, A932802
A932807, A932807
A932829, A914597
A932839, A932839
A932855, A919180
A932883, A909904
A933021, A933021
A933030, A910960
A933034, A910060
A933051, A933051
A933059, A933059
A933258, A925346
A933265, A933265
A933276, A933276
A933308, A933308
A933321, A907131
A933331, A914104
A933356, A916045
A933364, A933364
A933413, A915752
A933472, A919267
A933528, A933528
A933543, A933543
A933568, A933568
A933573, A933573
A933626, A919343
A933636, A933636
A933648, A905823
A933657, A933657
A933738, A932322
A933790, A933790
A933844, A908396
A933888, A933888
A933898, A929431
A933903, A933903
A933921, A933921
A933933, A933933
A933945, A933945
A934032, A934032
A934068, A914483
A934070, A934070
A934171, A913935
A934244, A934244
A934282, A934282
A934307, A910769
A934325, A906014
A934329, A934329
A934393, A930272
A934404, A923894
A934412, A918181
A934433, A934433
A934564, A904739
A934575, A915363
A934595, A934595
A934605, A909989
A934632, A910060
A934634, A926355
A934684, A917573
A934739, A934739
A934764, A922175
A934766, A922769
A934780, A934780
A934885, A922314
A934905, A905663
A934912, A909989
A934936, A934936
A934960, A912741
A935015, A935015
A935098, A907249
A935144, A935144
A935171, A922176
A935204, A935204
A935232, A935232
A935248, A935248
A935283, A927295
A935300, A935300
A935302, A935302
A935332, A935332
A935383, A935383
A935391, A923894
A935394, A910463
A935456, A913011
A935510, A935510
A935542, A935542
A935604, A922562
A935614, A909854
A935630, A905844
A935651, A912186
A935656, A920410
A935662, A935662
A935668, A935668
A935673, A908396
A935680, A935680
A935695, A910561
A935709, A935709
A935721, A915742
A935740, A908732
A935754, A922383
A935768, A935768
A935799, A935799
A935807, A935807
A935820, A935820
A935857, A905577
A935869, A911645
A935904, A935904
A935932, A908732
A935973, A916045
A935980, A918828
A935984, A935984
A936024, A923305
A936036, A911153
A936064, A921090
A936138, A911959
A936169, A936169
A936202, A905010
A936208, A922314
A936211, A935144
A936223, A936223
A936260, A936260
A936324, A936324
A936406, A936406
A936407, A923472
A936420, A917299
A936433, A922294
A936490, A922353
A936521, A936521
A936530, A936530
A936547, A936547
A936628, A907656
A936656, A911037
A936671, A936671
A936680, A927866
A936732, A936732
A936759, A907249
A936782, A905307
A936787, A936787
A936810, A936810
A936835, A936835
A936915, A909014
A936948, A912919
A937005, A923732
A937010, A937010
A937030, A923733
A937079, A937079
A937083, A906194
A937090, A909028
A937142, A920955
A937171, A914922
A937189, A905562
A937269, A916321
A937273, A907840
A937324, A911368
A937355, A937355
A937397, A923076
A937401, A937401
A937475, A937475
A937491, A911645
A937493, A921541
A937529, A937529
A937566, A937566
A937582, A905796
A937635, A906829
A937724, A918828
A937725, A937725
A937797, A933276
A937848, A914597
A937922, A937529
A937929, A937929
A938006, A922167
A938019, A905978
A938034, A916387
A938039, A919591
A938108, A938108
A938120, A938120
A938219, A938219
A938271, A938271
A938278, A910008
A938279, A904861
A938308, A938308
A938311, A909199
A938362, A938362
A938419, A938419
A938422, A938422
A938442, A938442
A938443, A938443
A938446, A936810
A938501, A909028
A938548, A938548
A938578, A938578
A938580, A907164
A938592, A923069
A938595, A938595
A938631, A916045
A938676, A932322
A938680, A910303
A938729, A909242
A938753, A912203
A938761, A911006
A938776, A929431
A938845, A908704
A938887, A910126
A938913, A938913
A938920, A935332
A938926, A907263
A938945, A911153
A938973, A924279
A939023, A939023
A939109, A939109
A939119, A939119
A939125, A939125
A939146, A939146
A939201, A939201
A939278, A904758
A939292, A939292
A939297, A939297
A939381, A909342
A939394, A921090
A939452, A936530
A939520, A939520
A939529, A939529
A939530, A912953
A939554, A939554
A939580, A939580
A939595, A939595
A939642, A908396
A939670, A907782
A939727, A939727
A939732, A939732
A939748, A939748
A939785, A939785
A939819, A938419
A939854, A927295
A939985, A935248
A939998, A939998
A940000, A940000
A940011, A922176
A940053, A940053
A940100, A940100
A940115, A940115
A940143, A939201
A940171, A905488
A940218, A907284
A940232, A940232
A940333, A922639
A940358, A917573
A940381, A940381
A940415, A940415
A940459, A912451
A940483, A914739
A940511, A940511
A940523, A927866
A940592, A916775
A940643, A940643
A940645, A929623
A940656, A940656
A940743, A908231
A940870, A928298
A940883, A925346
A940953, A939529
A941050, A932802
A941093, A927616
A941101, A910008
A941111, A925454
A941132, A941132
A941210, A941210
A941220, A941220
A941249, A941249
A941276, A911306
A941287, A941287
A941329, A906578
A941375, A941375
A941392, A926220
A941433, A939146
A941514, A910195
A941655, A941655
A941698, A919591
A941723, A911730
A941750, A930840
A941776, A941776
A941783, A941783
A941847, A941847
A941861, A915531
A941918, A915586
A941936, A906213
A941956, A941956
A941957, A938419
A941982, A941982
A941996, A914011
A942026, A913833
A942028, A942028
A942066, A942066
A942111, A942111
A942129, A908528
A942132, A908482
A942139, A906926
A942141, A914597
A942149, A942149
A942167, A942167
A942201, A914909
A942210, A923369
A942228, A935984
A942264, A912159
A942266, A915428
A942272, A914024
A942281, A942281
A942331, A925907
A942334, A909924
A942391, A911645
A942399, A919447
A942400, A911368
A942473, A942473
A942480, A942480
A942514, A915428
A942522, A942522
A942546, A910126
A942566, A942566
A942585, A942585
A942615, A906940
A942620, A942620
A942639, A942639
A942673, A907296
A942675, A942675
A942706, A942706
A942713, A905796
A942752, A905978
A942774, A942774
A942783, A923733
A942819, A930840
A942821, A942821
A942826, A913715
A942843, A919680
A942868, A910126
A942904, A906178
A942948, A918873
A942952, A911120
A942960, A912507
A942968, A942968
A942972, A925346
A942973, A942973
A943041, A912507
A943051, A922314
A943058, A917033
A943117, A920536
A943231, A913604
A943258, A910716
A943272, A906940
A943359, A923472
A943363, A943363
A943380, A933945
A943496, A943496
A943522, A943522
A943567, A942675
A943648, A906864
A943657, A943657
A943687, A943687
A943720, A943720
A943751, A941287
A943876, A943876
A943878, A943878
A943900, A943900
A943906, A923941
A943907, A922442
A943912, A943912
A943916, A905010
A943943, A933276
A944035, A944035
A944100, A921673
A944108, A944108
A944144, A944144
A944169, A923894
A944216, A922388
A944217, A905966
A944226, A910561
A944274, A944274
A944277, A917801
A944282, A935248
A944286, A944286
A944292, A905817
A944314, A908662
A944339, A911120
A944345, A931944
A944378, A944378
A944386, A944386
A944466, A944466
A944515, A909202
A944526, A921163
A944532, A944532
A944621, A944621
A944628, A944628
A944644, A943522
A944645, A929121
A944661, A905817
A944667, A906879
A944711, A944711
A944799, A940115
A944814, A933364
A944867, A944867
A944900, A928912
A944968, A944968
A944970, A924231
A944985, A939023
A944992, A925346
A945007, A912186
A945035, A945035
A945092, A945092
A945110, A909989
A945112, A945112
A945136, A945136
A945158, A945158
A945180, A945180
A945209, A916017
A945229, A912470
A945237, A908231
A945242, A945242
A945288, A923808
A945298, A910463
A945302, A922383
A945314, A945314
A945341, A927866
A945368, A945368
A945454, A945454
A945504, A922562
A945532, A945532
A945547, A927773
A945606, A927616
A945620, A945620
A945724, A914374
A945738, A906940
A945754, A915742
A945789, A915296
A945801, A921338
A945849, A933364
A945881, A923305
A945907, A945907
A945977, A945977
A946059, A905488
A946073, A946073
A946098, A926082
A946122, A916387
A946131, A946131
A946132, A946132
A946184, A946184
A946194, A917968
A946234, A914483
A946254, A920447
A946260, A909666
A946341, A917033
A946364, A905951
A946443, A926181
A946445, A929431
A946457, A946457
A946460, A926308
A946528, A946528
A946560, A946560
A946587, A946587
A946597, A946597
A946676, A943900
A946683, A931407
A946704, A926651
A946718, A935302
A946721, A905562
A946744, A926082
A946760, A929952
A946772, A946772
A946777, A946777
A946803, A920190
A946830, A918628
A946852, A916775
A946877, A917801
A946935, A906864
A946936, A946936
A946956, A940000
A947088, A947088
A947130, A931912
A947137, A919472
A947142, A920094
A947191, A947191
A947336, A947336
A947347, A933021
A947359, A915341
A947374, A947374
A947375, A916775
A947377, A922459
A947415, A947415
A947420, A947420
A947480, A904861
A947517, A947517
A947519, A947519
A947544, A919472
A947650, A909629
A947748, A906940
A947755, A934282
A947761, A922459
A947802, A947802
A947865, A917033
A947892, A947892
A947912, A947420
A947926, A947926
A947980, A947980
A947981, A916321
A947995, A932268
A948003, A948003
A948015, A948015
A948032, A948032
A948043, A926082
A948046, A948046
A948047, A948047
A948127, A904739
A948138, A948138
A948175, A911973
A948195, A948195
A948209, A948209
A948218, A943522
A948256, A929352
A948272, A934032
A948278, A915340
A948338, A905978
A948360, A929431
A948379, A921739
A948394, A911153
A948418, A932802
A948420, A948420
A948425, A948425
A948457, A916321
A948545, A923069
A948661, A920211
A948723, A915428
A948752, A938120
A948801, A948801
A948820, A909994
A948850, A948850
A948886, A948886
A948906, A919569
A948913, A913715
A948983, A910960
A948984, A908653
A948988, A910463
A949004, A908180
A949027, A949027
A949031, A920410
A949062, A949062
A949108, A949108
A949154, A949154
A949164, A949164
A949178, A913592
A949261, A916321
A949265, A923733
A949268, A922442
A949303, A917230
A949321, A937355
A949322, A949322
A949345, A922353
A949367, A928912
A949388, A949388
A949415, A905693
A949421, A949421
A949446, A949446
A949502, A926181
A949516, A910126
A949525, A949525
A949545, A949545
A949684, A922639
A949716, A916975
A949767, A905488
A949787, A949787
A949856, A949856
A949877, A927866
A949901, A930266
A949928, A910126
A950051, A907505
A950092, A950092
A950105, A918873
A950230, A950230
A950312, A949787
A950421, A950421
A950427, A915586
A950490, A919080
A950497, A915157
A950517, A926308
A950568, A940000
A950699, A950699
A950729, A921338
A950793, A933790
A950846, A950846
A950871, A914865
A950897, A916934
A950927, A908429
A950928, A912203
A950941, A920211
A951016, A951016
A951025, A916045
A951123, A907384
A951181, A951181
A951184, A914865
A951194, A907384
A951196, A920810
A951239, A951239
A951268, A913537
A951353, A910463
A951432, A907656
A951461, A916219
A951473, A909768
A951559, A951559
A951561, A951561
A951605, A911973
A951630, A938271
A951638, A927616
A951661, A951661
A951672, A951672
A951699, A920447
A951746, A951746
A951748, A951748
A951752, A935332
A951755, A925907
A951785, A948046
A951787, A951787
A951812, A951812
A951863, A919447
A951907, A912470
A951918, A916045
A951919, A910960
A951976, A904739
A951977, A937355
A952068, A908266
A952078, A922459
A952094, A952094
A952160, A952160
A952180, A921027
A952226, A904838
A952335, A911959
A952346, A911385
A952348, A916510
A952374, A922769
A952416, A920094
A952430, A907336
A952439, A929301
A952468, A952468
A952491, A906926
A952525, A952525
A952544, A952544
A952552, A912186
A952559, A908334
A952605, A909202
A952652, A952652
A952707, A923076
A952739, A952739
A952766, A922388
A952865, A952865
A952930, A914739
A952931, A932268
A952953, A952953
A952959, A914448
A952968, A916639
A952983, A931912
A952984, A918828
A953055, A934032
A953056, A953056
A953077, A938219
A953119, A915296
A953131, A913592
A953142, A913847
A953160, A927295
A953170, A907284
A953190, A914922
A953196, A923076
A953230, A948850
A953249, A953249
A953271, A936324
A953398, A953398
A953429, A925689
A953441, A953441
A953453, A951181
A953512, A907505
A953519, A953519
A953523, A939520
A953555, A916639
A953583, A953583
A953637, A910604
A953808, A911959
A953815, A932789
A953851, A953851
A953859, A913963
A953862, A906565
A953908, A943363
A953911, A925488
A953969, A953969
A953995, A917114
A954066, A926438
A954095, A925533
A954104, A921566
A954117, A954117
A954135, A927156
A954154, A954154
A954233, A935015
A954248, A917573
A954275, A939146
A954315, A916155
A954322, A913011
A954479, A913833
A954488, A954488
A954526, A905817
A954578, A909904
A954716, A942167
A954753, A919447
A954755, A906433
A954764, A954764
A954814, A951181
A954833, A954833
A954979, A917874
A955063, A915732
A955086, A918175
A955220, A955220
A955253, A919447
A955410, A925488
A955414, A955414
A955444, A918089
A955447, A955447
A955498, A921566
A955499, A955499
A955608, A933573
A955616, A929431
A955617, A955617
A955627, A926220
A955630, A914448
A955644, A908642
A955688, A921541
A955718, A933308
A955770, A936547
A955771, A926003
A955772, A955772
A955792, A920410
A955814, A955814
A955844, A920536
A955882, A922314
A955968, A918089
A956008, A956008
A956016, A956016
A956026, A948850
A956035, A956035
A956053, A922383
A956067, A919343
A956069, A906014
A956110, A956110
A956141, A919055
A956152, A917114
A956157, A934936
A956180, A909028
A956181, A909663
A956221, A956221
A956249, A906565
A956273, A907284
A956340, A906829
A956368, A949108
A956369, A956369
A956380, A925346
A956389, A956389
A956399, A910463
A956409, A911153
A956484, A932778
A956596, A956596
A956674, A956674
A956709, A956709
A956731, A956731
A956747, A933945
A956802, A912151
A956851, A923069
A956865, A912356
A956868, A919491
A956873, A940511
A956938, A956938
A956944, A914483
A956987, A914597
A957032, A920955
A957038, A920536
A957192, A920447
A957266, A926082
A957282, A957282
A957306, A910692
A957309, A957309
A957356, A957356
A957358, A914381
A957378, A957378
A957397, A905823
A957401, A926481
A957600, A906178
A957628, A915742
A957630, A957630
A957637, A907384
A957644, A957644
A957782, A957782
A957833, A935302
A957847, A920094
A957850, A919680
A957885, A923069
A957918, A911959
A957992, A906578
A958042, A913604
A958133, A958133
A958199, A929630
A958213, A925258
A958216, A904735
A958219, A940100
A958225, A916017
A958231, A958231
A958235, A958235
A958284, A958284
A958292, A913715
A958355, A923107
A958400, A915732
A958427, A936810
A958456, A948801
A958492, A958492
A958500, A944968
A958515, A908266
A958543, A929352
A958562, A930293
A958583, A958583
A958596, A958596
A958666, A927616
A958749, A920955
A958776, A905562
A958872, A958872
A958945, A917529
A959020, A913604
A959084, A917287
A959088, A928313
A959110, A931599
A959123, A929952
A959129, A912953
A959155, A959155
A959160, A942620
A959201, A935015
A959245, A933888
A959251, A959251
A959253, A922383
A959286, A915852
A959287, A959287
A959348, A911262
A959383, A959383
A959394, A920447
A959469, A905796
A959515, A909342
A959526, A959526
A959541, A921027
A959585, A908642
A959622, A952160
A959647, A915732
A959650, A912953
A959665, A906578
A959672, A959672
A959692, A906829
A959775, A959775
A959820, A905844
A959852, A914448
A959855, A912507
A959904, A904739
A959910, A915296
A960066, A906578
A960072, A960072
A960092, A914739
A960094, A960094
A960103, A909316
A960241, A911688
A960267, A960267
A960270, A925454
A960431, A919680
A960515, A935248
A960604, A920190
A960642, A917739
A960706, A960706
A960815, A930840
A960819, A930840
A960831, A944968
A960836, A935248
A960925, A927616
A960948, A920447
A960954, A939146
A960959, A960959
A961069, A908482
A961113, A923472
A961115, A961115
A961150, A953969
A961160, A911973
A961170, A961170
A961183, A961183
A961198, A910004
A961214, A961214
A961224, A940000
A961270, A912507
A961273, A913342
A961284, A919447
A961327, A945092
A961387, A913592
A961396, A908180
A961401, A961401
A961440, A943522
A961465, A933790
A961499, A920955
A961513, A922353
A961553, A961553
A961554, A921338
A961573, A922442
A961597, A961597
A961635, A961635
A961652, A920094
A961660, A961660
A961668, A916017
A961712, A931916
A961776, A914381
A961791, A961791
A961851, A961851
A961883, A961883
