token,frequency
PINOLE,13
PLANTATION,13
RAMONA,13
RAULERSON,13
RICHMOND,13
SERRANO,13
SEYMOUR,13
SIMI,13
TOMPKINS,13
TONI,13
TRAINITO,13
TUJUNGA,13
VASQUEZ,13
WILLIAMS,13
WILSON,13
YOLANDA,13
12,12
13616,12
17,12
1938,12
2000,12
235,12
32713,12
33911,12
3760,12
401,12
4513,12
60103,12
670,12
7,12
712,12
720,12
7586,12
76179,12
777,12
8,12
8919,12
90280,12
90808,12
91042,12
91710,12
91911,12
91ST,12
95673,12
95965,12
9733,12
ALVAREZ,12
ANGELO,12
BANCROFT,12
BELOTE,12
BISCAYNE,12
BRADY,12
BRIDGEWATER,12
CARRILLO,12
CHAPEL,12
CHARLENE,12
CITRUS,12
COLLINS,12
CONCEPCION,12
CONTRERAS,12
CORDOVA,12
CORINTH,12
COSTA,12
CRESCENT,12
CYPRESS,12
DEBARY,12
DICKS,12
ESCARNE,12
EUSTACIO,12
EVANS,12
EVELETH,12
FAIRFIELD,12
FORNEY,12
GARRISON,12
GRANBURY,12
GRAY,12
HOANG,12
HOMESTEAD,12
JAQUELINE,12
KADESHRA,12
KEGLER,12
KELLY,12
KIMBERLY,12
KINDELL,12
LADASHIA,12
MAGAZINE,12
MAIN,12
MANSON,12
MARIAH,12
MARLENE,12
MARTENS,12
MARTHA,12
MISSION,12
MISTY,12
NANCY,12
NORTHRIDGE,12
OOI,12
OX,12
PEDRAJA,12
PLEASANTON,12
PONTE,12
POYNTER,12
RACE,12
RACHELLE,12
RAMOS,12
RAY,12
RICHARDSON,12
RIVERA,12
RUN,12
SAMUEL,12
SHELLY,12
SLANDZICKI,12
STONE,12
SUMMER,12
TEMPLE,12
VIEJO,12
WALNUT,12
WILDWOOD,12
WINCHESTER,12
103,11
109,11
125,11
14242,11
1915,11
1988,11
2049,11
2385,11
2623,11
310,11
32159,11
32583,11
33060,11
33317,11
34110,11
34286,11
4,11
516,11
76048,11
76065,11
7724,11
77351,11
77536,11
78251,11
78552,11
85TH,11
884,11
90805,11
91367,11
92123,11
92154,11
92532,11
93536,11
94513,11
94565,11
94619,11
95020,11
95267,11
95670,11
95823,11
ALEXANDER,11
ALVARADO,11
ANGULO,11
ARBOR,11
ARTENSTEIN,11
BANDERA,11
BAUER,11
BERNARDINO,11
BIG,11
BRACKLE,11
BRADENTON,11
BRYAN,11
CAMINO,11
CANAL,11
COOLING,11
DAYTONA,11
DELTONA,11
EDWARD,11
ESTATES,11
FM,11
FRISCO,11
GAMAN,11
GOMEZ,11
GRINDELIA,11
GUAJARDO,11
HEIGHTS,11
HELEN,11
HEMET,11
HENSLEY,11
HIGINSON,11
HUERTA,11
HUFF,11
JANISCH,11
JARRELL,11
JESSE,11
JONES,11
LANH,11
LEHIGH,11
LIBBY,11
LOZANO,11
MARES,11
MEADOW,11
MILLER,11
MORRIS,11
NATIONAL,11
OCEANSIDE,11
ONTARIO,11
PANAMA,11
PEREZ,11
RENE,11
REYNOLDS,11
ROSE,11
RUTH,11
STEVENS,11
TEAS,11
TUCHMAN,11
VERNON,11
WALKERBILT,11
10438,10
12619,10
13992,10
1500,10
16044,10
1690,10
1705,10
17583,10
1936,10
1943,10
1961,10
20475,10
212,10
260,10
2929,10
301,10
315,10
32218,10
32225,10
323,10
328,10
33559,10
34669,10
34786,10
370,10
3831,10
4113,10
4142,10
501,10
504,10
632,10
75068,10
75115,10
75572,10
75935,10
76036,10
77041,10
77089,10
77642,10
8201,10
8433,10
8440,10
90680,10
91765,10
91977,10
92065,10
92392,10
92570,10
92692,10
92882,10
94587,10
95127,10
95330,10
95687,10
95822,10
95838,10
ALTO,10
AMEY,10
ATIENZA,10
BELT,10
BLANCA,10
BRYANT,10
CANOGA,10
CARLOW,10
CERES,10
CIRC,10
CLERMONT,10
COUNTY,10
DALE,10
DALY,10
DANA,10
DOMINGA,10
DORA,10
DORIS,10
FALLS,10
FIDDLESTICK,10
FIELD,10
GALLEGOS,10
GASDAGLIS,10
GILLIAM,10
GLADE,10
GLORIA,10
HAINES,10
HEATHER,10
HERMOSA,10
HERMOSILLO,10
IRMA,10
ISMENIA,10
JACK,10
JAMISON,10
JEAN,10
JO,10
JOFFRE,10
KORNBLUM,10
KRISTINA,10
LATHROP,10
LEBEKA,10
LIGHTHOUSE,10
LORENZO,10
MARBLE,10
MARCELUS,10
MATEO,10
MIDLOTHIAN,10
NILESH,10
NORTHINGTON,10
NUYS,10
ORMOND,10
OROVILLE,10
PAIGE,10
PAMELA,10
PERALTA,10
PKWY,10
PLANT,10
PRENTICE,10
PUMA,10
RALSTON,10
RAMON,10
REECE,10
ROJAS,10
RONNIE,10
RUSSO,10
SALAZAR,10
SANDOVAL,10
SEBRING,10
SHELLEY,10
SHELTON,10
SPC,10
STAR,10
SUZI,10
THIEF,10
TOBA,10
TONY,10
UNION,10
VALENTINE,10
WAIBEL,10
WESLEY,10
WHISPERING,10
WILLOW,10
WOO,10
WOODS,10
WOOTEN,10
1209,9
1228,9
1406,9
1426,9
15009,9
1640,9
165891,9
1827,9
1901,9
1916,9
1941,9
2020,9
2106,9
213,9
215,9
238,9
255,9
25TH,9
2701,9
2754,9
300,9
32725,9
32824,9
33027,9
33180,9
33411,9
33414,9
33566,9
33615,9
33762,9
33909,9
3424,9
34655,9
34748,9
35TH,9
3888,9
4329,9
4332,9
48TH,9
5317,9
6705,9
72142,9
72205,9
72943,9
7374,9
75024,9
75056,9
75156,9
7617,9
76537,9
78227,9
79109,9
91206,9
91304,9
91340,9
91709,9
91766,9
9201,9
92260,9
92316,9
92376,9
92571,9
92587,9
92626,9
92805,9
93551,9
93635,9
93711,9
94025,9
94564,9
94605,9
95307,9
ALEJANDRO,9
ALICE,9
ALTAMONTE,9
ALVIN,9
ANGELIA,9
ARIZPE,9
ARUTYUNYAN,9
ASH,9
AVENTURA,9
BALBUENA,9
BALDWIN,9
BANOS,9
BARREIRO,9
BENNETT,9
BONIFAY,9
BOULV,9
BROOK,9
CASA,9
CATHERINE,9
CHARLES,9
COCOA,9
COLBY,9
CRCLE,9
DENNIS,9
DOCKTER,9
ESKOTA,9
FAIR,9
FELICITAS,9
FINCH,9
FISHER,9
FREDERICK,9
FURLONG,9
GILROY,9
GREENHALGH,9
HABEBO,9
HAVEN,9
HECTOR,9
HEMPSTEAD,9
HILLHAVEN,9
HINOJOSA,9
HOG,9
HOGAN,9
HOLZWARTH,9
HUNTINGTON,9
HUSSAIN,9
HWY,9
IRENE,9
IVORY,9
JACINTO,9
JAMIE,9
JARAMILLO,9
JOEY,9
JOSLIN,9
KEASHA,9
KEYSTONE,9
KIRBY,9
KROIS,9
LEESBURG,9
LEISA,9
LONGORIA,9
LOREAL,9
MACTAL,9
MALL,9
MANUEL,9
MEMPHIS,9
MENLO,9
MILL,9
MILLS,9
MIRAMAR,9
MOLINO,9
MONTEBELLO,9
MOSS,9
MOSSHOLDER,9
NEALON,9
NO,9
NOEL,9
OWEN,9
PAULA,9
PENSACOLA,9
PIONEER,9
POBOX,9
PST,9
RAMIREZ,9
RANDY,9
REDDING,9
REDGRAVE,9
REGINA,9
REYES,9
RIVERVIEW,9
RIVIERETHOMPSON,9
RODRIGUE,9
ROSEMON,9
RUBEN,9
SCHRODER,9
SEVEN,9
SHAMSI,9
SILVEIRA,9
STANTON,9
TARPON,9
TOBIAS,9
TOWNE,9
TREVINO,9
UNN,9
URIAS,9
VEDRA,9
VILLALVAZO,9
WALTER,9
WARSING,9
WOODBURY,9
X,9
10332,8
10340,8
10520,8
11030,8
111,8
112,8
115,8
1215,8
1258,8
126,8
1276,8
12950,8
1402,8
14150,8
14668,8
14TH,8
1857,8
18616,8
1905,8
1920,8
1947,8
1952,8
1960,8
1967,8
2,8
201,8
206,8
2320,8
23RD,8
24875,8
280,8
29TH,8
308,8
316,8
3221,8
32223,8
32425,8
32818,8
32833,8
32ND,8
33021,8
33147,8
33351,8
33545,8
34135,8
34328,8
34610,8
361,8
3837,8
409,8
4402,8
4601,8
4709,8
601,8
6020,8
6329,8
71901,8
72176,8
72216,8
72762,8
7578,8
761,8
76133,8
7626,8
77450,8
77511,8
78758,8
79936,8
79938,8
8TH,8
90026,8
90042,8
90602,8
90640,8
90715,8
91730,8
91739,8
91941,8
92025,8
92126,8
92506,8
9305,8
93312,8
93927,8
94128,8
94303,8
94580,8
94588,8
95124,8
95320,8
95624,8
95765,8
ALFONCINA,8
ALICIA,8
AMBER,8
AMIRHAMZEH,8
ARCADIA,8
ARNOLD,8
ASTORIA,8
AUDRY,8
AUGUSTINE,8
AURORA,8
BAR,8
BEAMER,8
BEAR,8
BECKETT,8
BLOOMINGTON,8
BOOHER,8
BOSCH,8
BOWMAN,8
BURBANK,8
CAPPS,8
CASAS,8
CASTORA,8
CHANG,8
CLARKE,8
COLTON,8
COMPTON,8
CONCORD,8
CORELLA,8
CORTES,8
COVINA,8
CRCL,8
CREWS,8
CRISTINA,8
DEBBIE,8
DEGUZMAN,8
DENISE,8
DOLORES,8
DOSS,8
EARL,8
EMERT,8
FELIPE,8
FINGAR,8
FLD,8
FLINT,8
FREDDIE,8
FREMONT,8
FULTZ,8
G13,8
GAINESVILLE,8
GIBSON,8
GLADYS,8
GOLF,8
GREENFIELD,8
GRIBSCHAW,8
GROTEY,8
HANSON,8
HARRISON,8
HICKS,8
HUDSON,8
HUFFMAN,8
ISBELL,8
IVEY,8
JACY,8
JAMIANNE,8
JEFFERSON,8
JOAQUIN,8
JOLENE,8
JOSEPHINE,8
JOY,8
KARI,8
KEVIN,8
KHIRD,8
KINCAID,8
KIRRILY,8
KRAUS,8
LAREDO,8
LAURIE,8
LEON,8
LIVERMORE,8
LORENA,8
LOUIS,8
LUCERO,8
MACIAS,8
MAIDDI,8
MALAE,8
MALVERN,8
MARGARITA,8
MARION,8
MARTINEZRUIZ,8
MATA,8
MATHEW,8
MCCARTHY,8
MICHELE,8
MILDRED,8
MILIVOY,8
MILLMAN,8
MISSOURI,8
NELIDIA,8
NEWHALL,8
NORMAN,8
OCONNOR,8
OLIVIA,8
PAM,8
PARKWOOD,8
PASTORA,8
PAZZI,8
PENA,8
POUNDRIS,8
PRIELIPP,8
PUNO,8
QUEEN,8
RANDAL,8
RAYMOND,8
RICHARDS,8
SALEH,8
SANTIAGO,8
SHANZ,8
SHARRON,8
SHEILA,8
SHELLIE,8
SNOWDEN,8
SOTOAGUILAR,8
SUSAN,8
TAWNEE,8
TERR,8
TERRY,8
THERESA,8
TIGER,8
TINA,8
TOFFT,8
TOWNSEND,8
VAL,8
WEBB,8
WELLINGTON,8
WESCOTT,8
WHISENHUNT,8
WILLIE,8
WILMERDING,8
WINSTEAD,8
XIMENO,8
YORBA,8
YOUNG,8
ZATARAIN,8
1002,7
108,7
1118,7
1124,7
11819,7
118TH,7
119,7
1256,7
135,7
1535,7
15519,7
15897,7
160B,7
1633,7
1734,7
17915,7
1800,7
18257,7
184,7
1843,7
19053,7
1935,7
1964,7
1974,7
2006,7
2012,7
20321,7
2120,7
2130,7
216,7
22,7
22477845,7
2345,7
2351,7
23623638,7
243,7
24TH,7
25,7
2521,7
25770,7
26180,7
2719,7
279,7
280911,7
2835,7
2938,7
30343,7
304,7
306,7
3111,7
32112,7
32141,7
32233,7
32277,7
32310,7
32547,7
32569,7
32708,7
32808,7
32908,7
33029,7
33055,7
3307,7
3309,7
3314,7
33321,7
33410,7
33511,7
33613,7
33703,7
33774,7
33777,7
33844,7
34208,7
34275,7
3437,7
34638,7
34688,7
34743,7
34746,7
34953,7
34985,7
3632,7
3673,7
400,7
4011,7
4121,7
421136,7
4345,7
43RD,7
449,7
45TH,7
4970,7
4985,7
512,7
51ST,7
5323,7
548,7
57,7
5708,7
5839,7
600,7
6312,7
64062,7
66TH,7
700,7
707,7
71801,7
71909,7
72113,7
72190,7
72712,7
75,7
7500,7
75044,7
75052,7
75075,7
75442,7
76262,7
770,7
77076,7
7756,7
7803,7
78681,7
79553,7
817,7
851,7
891810,7
90018,7
90033,7
90047,7
901,7
90242,7
90247,7
90255,7
90505,7
910,7
913,7
91321,7
9137,7
91706,7
91762,7
92114,7
92139,7
92308,7
92337,7
92377,7
92404,7
92531,7
92544,7
92582,7
92589,7
92592,7
926,7
92881,7
92887,7
93444,7
93705,7
94533,7
95212,7
95249,7
95366,7
95648,7
95662,7
95827,7
95828,7
967,7
97,7
ADAMS,7
ALBERTO,7
ALEJANDRA,7
ALFRED,7
ALI,7
APOPKA,7
APPLE,7
ASHFORD,7
ASIYA,7
AUTUMN,7
AZUSA,7
BACALL,7
BEJARANO,7
BENJAMIN,7
BIRCH,7
BONG,7
BRENT,7
BRIDALVEIL,7
BUNNELL,7
CANAS,7
CAPISTRANO,7
CARLSBAD,7
CASEY,7
CASTLE,7
CATHEDRAL,7
CIRCL,7
CIRCULO,7
CONIFER,7
CORTEZ,7
COVE,7
CV,7
DAHLIA,7
DIAMOND,7
DOMINIC,7
DUANE,7
DURAN,7
EDGEWATER,7
ELAINE,7
ELISEO,7
END,7
ESCALON,7
ESPERANZA,7
ETHELE,7
EUCALYPTUS,7
FA,7
FARMERSVILLE,7
FIR,7
FREEDOM,7
FUENTES,7
GARDENA,7
GARFIO,7
GEOFFREY,7
GIANNA,7
GILBERT,7
GOSSETT,7
GREENWOOD,7
HABTE,7
HENDRIX,7
HERRERA,7
HOWARD,7
IAN,7
JACQUELYN,7
JEANIE,7
JOHNNIE,7
JOSEFINA,7
JOSH,7
JUDITH,7
KANESHA,7
KARLA,7
KENNETH,7
KILLION,7
LAGUNA,7
LANDOW,7
LENNONSMITH,7
LESTER,7
LEWISVILLE,7
LOMAS,7
LOPEZCASTILLO,7
MARAI,7
MARCUS,7
MARK,7
MCALLEN,7
MERIDA,7
MOMOH,7
MORALES,7
MORAN,7
MURRIETA,7
NATHANIEL,7
NAWRES,7
NERISSA,7
NEWARK,7
NIGRO,7
OAKLEY,7
ORCULLO,7
OSPREY,7
OWENSMOUTH,7
PADDOCK,7
PALO,7
PARMENDRA,7
PARRAGA,7
PASADENA,7
PASEO,7
PENDLETON,7
PERSONUGWU,7
PETERS,7
PHILLIPPI,7
PITTSBURG,7
POINTE,7
PRADA,7
PRIM,7
PUENTE,7
RACHEL,7
RAMER,7
REDLANDS,7
RENMAR,7
RICHLAND,7
RIMHURST,7
RIVIERA,7
ROACHE,7
ROD,7
ROLLE,7
SADRA,7
SALSINI,7
SAND,7
SCHAEFER,7
SILVA,7
SOPHIE,7
STAMFORD,7
STEVEN,7
SUGARMAN,7
SUN,7
SUNSET,7
SWEANY,7
TAMARAC,7
TEDEMORY,7
TEXA,7
THACKERY,7
THELMA,7
TOPAZ,7
TURNER,7
TYLER,7
VANESSA,7
VICTOR,7
WALTERS,7
WATSON,7
WAVERTON,7
WESTBROOK,7
WINDERMERE,7
WINNETKA,7
WON,7
YVETTE,7
1005,6
10101,6
10202,6
10224,6
1030,6
10386,6
104,6
10432,6
105,6
1057,6
1070,6
11029,6
1134,6
1147,6
11512,6
1153,6
1166,6
116TH,6
1174,6
1211,6
12127,6
1213,6
1214,6
1226,6
12418,6
12430,6
12438,6
1250,6
12558,6
12603,6
126TH,6
12927,6
13054,6
13229,6
13515,6
14057,6
1446,6
14721,6
15188,6
1522,6
1566,6
158,6
161,6
16797,6
170,6
1704,6
17194,6
1720,6
1801,6
18486,6
1856,6
18846,6
1903,6
1908,6
1911,6
1912,6
1918,6
191ST,6
1921,6
1929,6
1930,6
1931,6
1940,6
1946,6
1951,6
1953,6
1959,6
1970,6
1980,6
1981,6
20101,6
2016,6
2037,6
204,6
2054,6
20576,6
20810,6
2097155476,6
210,6
2104,6
21132,6
21226,6
214,6
21490,6
21715,6
2207,6
2220,6
22273220,6
2239,6
22415,6
2250,6
226B,6
230,6
23177233,6
23394609,6
2392075065,6
24161,6
243722,6
2450,6
24915472,6
26134977,6
268,6
2742,6
27738,6
2800,6
28936,6
2944,6
30204,6
311,6
31532,6
3201,6
32081,6
32082,6
32136,6
32428,6
32503,6
32544,6
32570,6
326,6
3276,6
32763,6
32801,6
3300,6
33004,6
33015,6
33024,6
33035,6
33068,6
33139,6
33161,6
33166,6
33189,6
332,6
333,6
33416,6
33424,6
33446,6
33463,6
33486,6
33578,6
33603,6
33702,6
33707,6
33773,6
33806,6
33839,6
33850,6
3415,6
342,6
34224,6
34287,6
34607,6
34652,6
34742,6
34761,6
34785,6
3520,6
3616,6
3700,6
3825,6
3841,6
3854,6
3910,6
3937,6
4007,6
4020,6
403A,6
40850,6
411,6
418,6
4214,6
423,6
4245102826,6
4303,6
4346,6
4370,6
4417,6
445,6
4465,6
455,6
4568,6
4720,6
4726,6
4798468733,6
482,6
4949,6
5122105307,6
5154,6
521,6
52661,6
5302005818,6
5306,6
552,6
5530,6
5819,6
582052,6
5962,6
59TH,6
6,6
6025,6
60TH,6
61,6
6108,6
6193604328,6
6201,6
621,6
625,6
6323,6
64,6
6417,6
6460,6
653,6
70,6
7008,6
704,6
7044,6
7078480666,6
7141201824,6
7144,6
717,6
71913,6
71ST,6
72,6
72202,6
72301,6
72364,6
72744,6
7300,6
7355,6
7360,6
7470,6
749,6
75035,6
75062,6
75063,6
75762,6
76051,6
7605227677,6
762,6
76227,6
76354,6
76901,6
76904,6
77015,6
77072,6
7720,6
77449,6
77539,6
77573,6
77578,6
78069,6
78109,6
78207,6
78416,6
78550,6
78613,6
78619,6
79464,6
798,6
79901,6
7N,6
804,6
806,6
8133183653,6
8151,6
8176347028,6
8181,6
8182055166,6
81ST,6
822,6
8313651507,6
85,6
8505478184,6
8555,6
8723,6
90001,6
90022,6
90270,6
90335,6
9034530868,6
90712,6
9076,6
90803,6
909,6
9095221578,6
91,6
9120,6
91306,6
91776,6
9190,6
91902,6
91915,6
92027,6
9204,6
92040,6
92220,6
92313,6
92335,6
92358,6
92504,6
92801,6
92869,6
93036,6
93280,6
93309,6
93311,6
93550,6
9403678873,6
94138,6
9414,6
94501,6
94526,6
94534,6
94551,6
94561,6
94806,6
94960,6
95019,6
95062,6
95358,6
95370,6
95448,6
95608,6
95632,6
95762,6
95820,6
95835,6
9622,6
9627,6
9738,6
9896,6
A137,6
AARTMENT,6
AE,6
AHN,6
ALICHA,6
ALIVIO,6
ALMEIDA,6
ALTAMIRA,6
ALVA,6
AMANTE,6
ANDERSON,6
ANDREAS,6
ANDREW,6
ANDY,6
